var_x,var_y,cov_xy,anisotropy,fft_score,is_fake
0.19328132,0.12542333,-0.011668397,0.22515672,114.97135,0
0.033988614,0.09467955,-0.008442126,0.489595,105.69495,0
0.09834261,0.09847065,0.023807714,0.24193165,115.14892,0
0.08371012,0.056021642,-8.989572e-05,0.19815724,104.50181,0
0.0841072,0.33737898,0.0021792806,0.6009893,141.73344,0
0.23954779,0.2877899,-0.010061318,0.09912165,170.19122,0
0.06920797,0.04779387,-0.001353936,0.18447952,103.51028,0
0.01404251,0.007954257,0.00080101116,0.28618807,77.90248,0
0.05627731,0.069906116,0.0010956116,0.10939414,100.36362,0
0.059836987,0.062658064,0.0017917274,0.037231054,101.43465,0
0.093855634,0.074223176,0.008196821,0.15217198,97.7898,0
0.05363394,0.09347684,0.0019711778,0.27215677,110.95209,0
0.0688462,0.04715861,-0.0073665665,0.2260114,107.38457,0
0.09418885,0.12737504,0.0016635123,0.15053174,100.85545,0
0.04996173,0.19049212,0.031109521,0.6391553,117.85768,0
0.016766122,0.015451121,0.0005138926,0.051803038,98.67486,0
0.09229605,0.03190413,0.0018417394,0.48714635,112.94717,0
0.043355357,0.03601262,-0.0018179388,0.103234485,98.42905,0
0.09326548,0.10781949,0.0005448734,0.072579645,106.88236,0
0.20068952,0.057856288,-0.002149971,0.5526965,122.65918,0
0.02944863,0.0814028,-0.0005784523,0.46879485,98.274994,0
0.31478247,0.29956657,0.007657298,0.035140254,110.050896,0
0.22379568,0.21644108,0.009326192,0.045543514,112.27873,0
0.026152262,0.041426342,0.0022869152,0.2359321,100.98438,0
0.055688918,0.14131814,0.008302478,0.44274515,127.779434,0
0.0844855,0.1615861,0.011516746,0.32700783,119.19991,0
0.1553884,0.12710048,0.0056746104,0.10789649,105.48894,0
0.100462765,0.35699746,0.01569707,0.5649627,135.59003,0
0.050966974,0.0478028,-0.0007845583,0.035758324,104.555664,0
0.03475087,0.033015035,-0.0029419153,0.09052413,86.42282,0
0.17680408,0.12680274,-0.0058533284,0.1691441,103.67723,0
0.033394713,0.033221334,0.0039869407,0.1197256,97.120705,0
0.12529188,0.1570675,0.00940932,0.13079055,109.3819,0
0.05239452,0.063666895,-0.0044251783,0.12348198,99.49327,0
0.06335881,0.042736433,-0.004851423,0.21481402,93.23028,0
0.25902066,0.21304499,-0.003877707,0.09876822,118.99139,0
0.08236996,0.0600067,-0.0002485633,0.15710884,105.1423,0
0.08648288,0.05139906,0.0006530635,0.25462273,112.78523,0
0.124213666,0.08659087,0.0025922803,0.18015815,115.01525,0
0.0521471,0.06270443,-0.0012593331,0.09450037,99.57256,0
0.17980224,0.06407197,0.01659642,0.49367982,109.04799,0
0.10403523,0.08327537,-0.0014512618,0.11190862,110.81463,0
0.095840275,0.10805832,0.0010404512,0.060784727,111.60498,0
0.011048936,0.0063293874,0.000753697,0.28507614,81.98685,0
0.052396405,0.11188899,-0.0011587127,0.36240193,107.90643,0
0.1409161,0.10931654,-0.011141561,0.1545201,102.37903,0
0.025282668,0.014905998,-0.00053547986,0.25956398,95.946465,0
0.062197194,0.06652495,0.00094730064,0.03670123,109.49314,0
0.057303593,0.09580756,0.0025589135,0.25368726,99.2833,0
0.04600004,0.09808541,0.0004069371,0.36153108,113.069,0
0.081733614,0.07983205,0.006987301,0.08729142,114.52782,0
0.25087726,0.19526684,0.034078885,0.19716881,115.52211,0
0.04328385,0.047286283,0.0026249231,0.07288788,96.324585,0
0.03629133,0.037901882,0.0028580741,0.080042705,99.07727,0
0.09888478,0.10262668,-0.004240528,0.0460014,114.78938,0
0.24154598,0.1527851,-0.010399923,0.23118939,122.92035,0
0.118919246,0.107117236,0.0022255725,0.05580268,117.963776,0
0.07568839,0.08503723,-0.0060321945,0.094960675,115.73746,0
0.09329881,0.10257129,0.0121816,0.13308792,112.97554,0
0.07746297,0.065588415,0.0078814635,0.13795727,113.53828,0
0.078132,0.055055734,0.0032964286,0.1801923,103.14575,0
0.09699367,0.09926102,-0.0014176259,0.018498125,110.419655,0
0.14385031,0.14623462,-0.00080724177,0.00992637,108.69214,0
0.43872616,0.25616097,0.022865986,0.2708434,113.613464,0
0.042220112,0.10652926,0.003439816,0.4347961,114.056625,0
0.020136379,0.054795694,0.0020847623,0.46587187,118.5549,0
0.022655107,0.056212507,-0.001996225,0.42848554,103.68448,0
0.014424365,0.028074192,-0.00073427334,0.3230292,111.75854,0
0.026073657,0.078333065,0.023076788,0.66778874,112.21816,0
0.119593695,0.09133084,0.0022159193,0.13563184,120.601135,0
